dataset,variable,label,col_type,value_labels
midline_responses_raw.Rds,id,participant ID,int,
midline_responses_raw.Rds,b18,In School,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Yes = 1, No = 5)"
midline_responses_raw.Rds,b19,School Part or Full Time,dbl+lbl,"c(Refused = -9, `Dont know` = -8, `Full time` = 1, `Part time` = 2)"
midline_responses_raw.Rds,b19a,School Part or Full Time,dbl+lbl,"c(Refused = -9, `Dont know` = -8, `High school completion / Working towards GED` = 1, `2-year college` = 2, `4-year college` = 3, `Vocational / technical school` = 4, `Graduate school` = 5, `Independent study` = 6, `Something else` = 7)"
midline_responses_raw.Rds,b20,Education Level,dbl+lbl,"c(Refused = -9, `Dont know` = -8, `8th grade or less` = 1, `Some high school` = 2, GED = 3, `High school diploma (completed 12th grade)` = 4, `Some college` = 5, `Associate's degree` = 6, `Technical, vocational, or trade school` = 7, `Bachelor's degree` = 8, `Some graduate school` = 9, `Graduate degree` = 10)"
midline_responses_raw.Rds,b23,Num Children,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,b24,New children,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,b29,HH Pregnancy Yes Range,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,num_child5_17,Number of Children 5-17 Living in Household,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,num_childu5,Number of Children Under 5 Living in Household,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,num_adults,Number of Adults Living in Household,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e4,Food & Beverages Exp at Home,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e4a,Food & Beverages Exp Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e5,Food Out Expenditures,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e5a,Food Out Exp Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e6,Alcoholic Beverages Out Exp,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e6a,Alcoholic Beverages Out Exp Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e7,Smoking Expenditures,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e7a,Smoking Expenditures Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e9,Marijuana Expenditures,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e9a,Marijuana Expenditures Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e8,Public Transportation Expenditures,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e8a,Public Trans Expenditures Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e10,Clothing Services Expenditures,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e10a,Clothing Services Exp Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e11,Personal Care Expenditures,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e11a,Personal Care Exp Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e12,Electricity Expenditures,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e12a,Electricity Exp Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e13,Phone Expenditures,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
midline_responses_raw.Rds,e13a,Phone Exp Unit,dbl+lbl,"c(Refused = -9, `Dont know` = -8, Weekly = 1, Monthly = 2, Yearly = 3)"
midline_responses_raw.Rds,e14,Cable/Internet Expenditures,dbl+lbl,"c(Refused = -9, `Dont know` = -8)"
